24,ResponseId,Q79,Q32,,Q22,Q22_23_TEXT,*********,Q29,Q29_12_TEXT,Q55,Q50,Q50_4_TEXT,Q56#1_1,Q56#1_2,Q56#1_3,Q56#1_4,Q56#1_5,Q56#1_6,Q56#1_7,Q56#1_8,Q56#1_9,Q56#1_10,Q56#1_11,Q61,Q57#1_1,Q57#1_2,Q57#1_3,Q57#1_4,Q57#1_5,Q57#1_6,Q57#1_7,Q57#1_8,Q57#1_9,Q57#1_10,Q57#1_10_TEXT,Q62,Q67,Q67_5_TEXT,Q68,Q69,Q70,Q46,Q47,Q48,Q58,Q59,Q60,CODING,RESEARCHER,Q71,Q70,Q71,Q74,Q75,Q49,Q44,Q51,Q52,Q52_11_TEXT,Q78,Q27
Recorded Date,Response ID,In which country and state do you currently reside?,"Primary institution 
Note: Please complete this survey about the place where you work or attend school most often.",Institution Type,Select your field(s) or discipline(s). Check all that apply. - Selected Choice,"Select your field(s) or discipline(s). Check all that apply. - Other (please write in if you are unsure, or work in a different field) - Text",Student or Professional?,Role,Check any of the following that apply to you: - Other - Text,"If applicable: If you plan to apply, have been admitted, or are currently enrolled in a graduate program, please list the specific program(s) or types of programs (M.S., Ph.D., M.D.) below.",Check any of the following that apply to you: - Selected Choice,Check any of the following that apply to you: - Other - Text,"Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Food, nutrition","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Housing","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Health, medical","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Finances, paying bills","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - General well-being","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Mental health","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Living conditions","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Distance from family, friends","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Relationships with others","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Childcare","Currently, are you concerned about the following?: (If you are not, leave blank.) __________About... - Personal impacts - Education for children",Feel free to comment on any of the items you marked above.,"Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Learning environment","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Completing your education","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Decisions about graduate school","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Education (other)","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Professional development (internships, programs, conferences)","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Finding a job","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Keeping your current job","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Telework tools (internet, wifi, computer)","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Telework productivity","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Other (write-in)","Currently, are you concerned about the following?: (If you are not, leave blank.)   __________Abo... - Academic and/or professional impacts - Other (write-in) - Text",Feel free to comment on any of the items you marked above.,Has there been any official communication about COVID-19 from the institution you've listed above? - Selected Choice,Has there been any official communication about COVID-19 from the institution you've listed above? - Other - Text,"Related to COVID-19, what information have you received from this institution that has been most HELPFUL to you, in terms of your own studies, work, and/or projects? 

Note: This could be via email, printed, etc.",How did you FEEL as a result of this communication? Why?,What did you DO as a result of this communication? Why?,"Related to COVID-19, what information have you received from this institution that has been most UNHELPFUL to you, in terms of your own studies, work, and/or projects? 

Note: This could be via email, printed, etc.",How did you FEEL as a result of this communication? Why?,What did you DO as a result of this communication? Why?,"Related to COVID-19: What conversations have you had at this institution? With whom? 

Note: This could be via email, phone, virtual meetings, in-person, etc.",How did you FEEL as a result of this communication? Why?,What did you DO as a result of this communication? Why?,"Did you feel supported from your institution, department, team, etc.? ",Who coded this?,"Related to COVID-19, what information do you need that you DO NOT currently have? In other words, what type of information are you waiting for?","How has COVID-19 changed and/or altered your academic or professional plans? 
Some examples: programs you will apply to, jobs you will apply to, interest level in certain career paths.",(Optional) Please explain or give an example.,"If applicable, how has COVID-19 changed and/or altered your current or future projects?
Some examples: scope of work has changed, funding issues, applying for different types of grants, some work put on hold.",(Optional) Please explain or give an example.,How would you describe yourself? (Mark one answer) - Selected Choice,Do you consider yourself to be transgender? (Mark one answer),Do you consider yourself to be: (Mark one answer) - Selected Choice,What is your race and/or ethnicity? Check all that apply. - Selected Choice,What is your race and/or ethnicity? Check all that apply. - Other (write-in) - Text,"OPTIONAL: If you have any additional comments about how COVID-19 has impacted you personally, or if you have any additional statements to make, please feel free to include these below:","CLICK TO SUBMIT SURVEY

Note: After completing this survey, we recommend that you take steps to protect your privacy by clearing your internet browser's history, cache, cookies, and other browsing data."
5/3/2021 7:38:23,R_1d5ZHeyanzjgfj7,removed for now,removed for now,,Life Sciences,,Student,Graduate student (second-year or above),,Ph.D,None of these,,0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,2,0,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,Emails regarding updates to the academic calendar and vaccine availability. ,I do not feel much of anything about this communication. It is needed information. ,Adjust my plans if the communication changes anything and move forward with my day. ,N/A,N/A,N/A,N/A,N/A,N/A,Neutral feelings,Ali,N/A,CHANGED,I am now more interested in public health and incorporating it into my program and future career plans. ,Not at all,,Woman,No,Heterosexual or straight,White,,,Submit
4/26/2021 11:45:51,R_1IntMyfwXazWEa9,removed for now,removed for now,,Materials Science,,Professional,Faculty,,,None of these,,0,0,0,0,2,0,0,2,0,0,2,"Pre-college education has taken a hit. The K-12 students simply aren't learning or achieving what they would have in a ""regular"" school year. This is of course compounded by the psychological toll.",2,0,0,2,0,0,0,2,2,,,"Many undergrad students have adjusted and learned to cope, but in the classes I teach there is a good 20-25% who have really struggled with online education. This percentage goes up at K-12 level.","Yes, explicitly mentioning COVID-19",,Mostly COVID testing and safety when on campus. ,I feel pretty safe about being in my office and labs.,I have definitely been at the University in person far more than I would have otherwise.,How to do exams and quizzes online.,"I feel that the University is always passing the responsibility on to the faculty to stop cheating in exams and quizzes. Colleagues at other Universities say the same thing. It is time for the University administrations to step up and deal with this - it will take some investment and effort, but the integrity of higher education needs it.",Devised my own ways to increase integrity in exams/quizzes and minimize cheating.,"Many - students (graduate and undergraduate), faculty, administrative assistants, technicians and others. Mostly by email, but also a significant number of virtual meetings, a few phone calls and small (2 or 3 people) face-to-face meetings in large conference rooms.",The closer to in-person the better!,Undertake online or computer centered activities.,Neutral feelings,Ali,"As stated previously - a centralized and rigorous policy for implementing exams/quizzes that minimizes cheating, plagarism,...etc",NO CHANGE,,Somewhat,I will be using recorded lectures to supplement (not replace) in-person classes. For research projects the emphasis is going to be much more computational.,Man,No,Heterosexual or straight,White,,,Submit
5/12/2020 10:44:55,R_1KrmPcu0S8LjOcu,removed for now,removed for now,,Physics and Astronomy,,Student,Graduate student (second-year or above),,Ph.D.,First generation to college (no parent/guardian in the household is a college graduate),,0,0,0,0,"1,2","1,2",0,0,2,0,0,,"1,2","1,2","1,2",0,0,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,What services are still available. Medical center mostly.,Relieved,When I needed to use the medical facility I have been able to.,Inspirational emails.,Annoyed.,Ignore most of the emails.,N/A,N/a,N/a,Neutral feelings,Ali,,CHANGED,,Not at all,,Man,No,Heterosexual or straight,White,,,Submit
4/27/2021 9:55:16,R_1KxqUmtVevnvacQ,removed for now,removed for now,,Life Sciences,,Professional,Faculty,,n/a,First generation to college (no parent/guardian in the household is a college graduate),,0,0,0,0,0,0,0,0,0,0,0,n/a,2,0,0,0,2,0,0,2,2,,,,"Yes, explicitly mentioning COVID-19",,"support for converting to remote classes
","was helpful, but other communications were  unclear which was stressful",participated in training,"unclear messaging
mixed messages about what type of research activities were permitted",confused ,pushed administration for clarification,"continued my typical interactions, but via zoom","zoom is tiring, but was good to remain in contact",n/a,Neutral feelings,Ali,more clarity about in-person classes in Fall 2021-- will there be social distancing or hybrid classes,NO CHANGE,,Somewhat,Research collaborations on hold with colleagues at other institutions ,Woman,No,Heterosexual or straight,White,,"Lucky to have not experienced job interruptions
Remote teaching is very tiring and has been stressful due to uncertainty, constant pivoting, rush to implement unfamiliar technology",Submit
5/16/2021 12:11:05,R_1LGTtsJmQNZlEOw,removed for now,removed for now,,"Chemistry,Materials Science",,Student,Graduate student (second-year or above),,Ph.D.,"First generation to college (no parent/guardian in the household is a college graduate),Attended community college",,0,0,0,0,0,0,0,0,0,0,0,,0,"2,3",0,0,0,2,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,Email,Fine. It felt obligatory.,Follow instructions,None,N/a,Continued to follow instructions,Conversations about protocols with colleagues.,Fine. ,Nothing,Neutral feelings,Ali,,CHANGED,,It has changed my plans,Lack of access to instrumentation during shutdown halted research and changed graduation dates.,Man,No,Heterosexual or straight,"American Indian or Alaska Native,White",,,Submit
6/29/2021 6:36:04,R_1lh5kdZWYQ5NCeo,removed for now,removed for now,,Chemistry,,Student,Graduate student (second-year or above),,Ph.D.,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,1,1,0,1,2,2,0,2,2,0,0,,2,2,2,2,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Neutral feelings,Ali,,CHANGED,,Somewhat,,Man,No,Heterosexual or straight,Black or African American,,,Submit
5/24/2021 12:21:36,R_1LnxBhAOaPMpNJc,removed for now,removed for now,,Computer and Information Science and Engineering,,Professional,Faculty,,,None of these,,0,0,0,0,0,0,0,0,0,2,0,,2,0,0,0,2,0,0,0,0,,,,"Yes, explicitly mentioning COVID-19",,"information about case numbers, information about policies related to covid","depends on the tone of the communication. If it is informative, it is typically helpful and calming. If it is alarmist, then anxious.",nothing,N/A,N/A,N/A,mentors on virtual meetings,anxious,nothing,Neutral feelings,Ali,,NO CHANGE,,Somewhat,it has changed how i run research studies. it certainly changed how i teach and how I feel about teaching,Woman,No,Decline to state,White,,,Submit
4/11/2020 18:15:03,R_1LOwqYL6H0SUTsa,removed for now,removed for now,,Life Sciences,Biotech,Professional,Employee (including Postdoctoral Scholars),,,First generation to college (no parent/guardian in the household is a college graduate),,0,0,0,0,0,0,0,2,2,0,0,Hard to date with covid about...,0,0,2,0,2,0,2,2,2,,,Telework doesnt work for some jobs where people have to be physically present and communicate and operate in real time... ,"Yes, explicitly mentioning COVID-19",,Stay home if your sick or think you are sick,I felt ok. Seems like a stock response for a biotech pharmaceutical.,Stayed home if I felt sick.,Social distancing is a bit of an impossibility for for some actions of my and others job.,Social distancing seems to be obtrusive to work. Makes people more antisocial.,Social distancing to the best of my ability.,"Management, HR, leadership, etc...  told us to stay at home if sick, social distance, etc..",Felt ok. Since everyone is doing their job.,Did what they said. Cause they are managment.,Neutral feelings,Ali,"Potential hazard pay, gate access for certain entrances. Etc...",CHANGED,"Given I work for a pharma, my job seems pretty secure. However, I always want to keep myself academically ready, so I want to retake my BIO GRE exam. Since COVID has killed my weekends and made work at home a joke, I have more time to study.",Somewhat,My scope of work is reduced. Can not operate as much on the floor as I'd like. Productivity is decreased.,Man,No,Heterosexual or straight,"Asian,Black or African American,Mixed Race (two or more races)",,Covid might cause a depression after it resolves.,Submit
6/13/2021 10:10:08,R_1M4LqOYOUY5XoeR,removed for now,removed for now,,Life Sciences,,Student,Graduate student (second-year or above),,Ph.D program in Microbiology,"Near-first generation to college (a parent/guardian is a college graduate, but you had little to no exposure to information about how to succeed in college)",,0,0,0,0,2,2,0,2,2,0,0,,2,2,0,2,2,2,0,0,2,,,,"Yes, explicitly mentioning COVID-19",,lab work operation,It is OK,We have to work in shifts and keep distancing,keep saying the campus is safe blablabla,not useful,ignore,more about discussion about university policies in lab meetings,ok,so we know how to work in the lab,Neutral feelings,Ali,more sources for graduate students to find a job after graduation during the pandemic,CHANGED,decided to change to another career path,Somewhat,some work put on hold or has to prioritize works,Woman,No,Heterosexual or straight,Asian,,"As an Asian we know have to be aware that people may just randomly attack you because they think the virus comes from China, so it is a feeling of unsafety",Submit
